排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
1,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,AI Agent,214018,214018,2026-08-13,开源 AI Agent 与自动化工作流项目,DeepSeek Harness: Everything is a Plugin.
2,guillaumemeyer/watermarks-remover,https://github.com/guillaumemeyer/watermarks-remover,AI Agent,21003,21003,2026-08-11,开源 AI Agent 与自动化工作流项目,A privacy-first app that strips AI watermarks from content you own.
3,langchain-ai/openwiki,https://github.com/langchain-ai/openwiki,AI Agent,16173,16173,2026-06-22,开源 AI Agent 与自动化工作流项目,OpenWiki is a CLI that writes and maintains agent documentation for your codebase.
4,yc-software/qm,https://github.com/yc-software/qm,AI Agent,14634,14634,2026-07-29,开源 AI Agent 与自动化工作流项目,Multiplayer agent harness for work.
5,XiaomiMiMo/MiMo-Code,https://github.com/XiaomiMiMo/MiMo-Code,AI Agent,12959,12959,2026-06-10,开源 AI Agent 与自动化工作流项目,MiMo Code: Where Models and Agents Co-Evolve
6,mattpocock/skills,https://github.com/mattpocock/skills,AI Agent,12608,254580,2026-02-03,开源 AI Agent 与自动化工作流项目,Skills for Real Engineers. Straight from my .agents directory.
7,makerspet/oomwoo,https://github.com/makerspet/oomwoo,AI Agent,10494,10494,2026-06-10,开源 AI Agent 与自动化工作流项目,Open-source vacuum robot cleaner
8,trycompai/crm,https://github.com/trycompai/crm,AI Agent,9924,9924,2026-07-31,开源 AI Agent 与自动化工作流项目,"Comp AI CRM is an open source, CRM designed for AI agents. Agentic-first CRM."
9,unicity-aos/aos-ce,https://github.com/unicity-aos/aos-ce,AI Agent,8550,8550,2026-07-12,开源 AI Agent 与自动化工作流项目,AOS Community Edition: the open agent operating system.
10,yjh051108/dsh-routing-suite,https://github.com/yjh051108/dsh-routing-suite,AI Agent,7110,7110,2026-08-14,开源 AI Agent 与自动化工作流项目,"dsh-routing-suite — injector + router-standard kit: install the runtime injector first, then ..."
11,sapientinc/PRAXIST,https://github.com/sapientinc/PRAXIST,AI Agent,6476,6476,2026-08-27,开源 AI Agent 与自动化工作流项目,"Autonomous research system for measurable, computer-executable research."
12,elder-plinius/T3MP3ST,https://github.com/elder-plinius/T3MP3ST,AI Agent,6028,6028,2026-07-02,开源 AI Agent 与自动化工作流项目,autonomous red teaming platform; multi-agent offensive-security meta-harness
13,jakubkrehel/skills,https://github.com/jakubkrehel/skills,AI Agent,5911,5911,2026-07-10,开源 AI Agent 与自动化工作流项目,A collection of agent skills that help you build a great interface.
14,genspark-ai/genoffice,https://github.com/genspark-ai/genoffice,AI Agent,5683,5683,2026-07-31,开源 AI Agent 与自动化工作流项目,"Free, open-source alternative to Microsoft Office with built-in AI agents — Word (.docx), Exc..."
15,oomol-lab/open-connector,https://github.com/oomol-lab/open-connector,AI Agent,5572,5572,2026-06-29,开源 AI Agent 与自动化工作流项目,"Open-source auth gateway connecting 1400+ SaaS providers to AI agents through SDK, CLI, MCP, ..."
16,truefoundry/trueforge,https://github.com/truefoundry/trueforge,AI Agent,5269,5269,2026-07-23,开源 AI Agent 与自动化工作流项目,The open-source agent harness - the runtime layer that turns an LLM into a working agent.
17,deeplethe/utopia,https://github.com/deeplethe/utopia,AI Agent,5086,5086,2026-08-07,开源 AI Agent 与自动化工作流项目,World's first open-source enterprise world model.
18,vercel/eve,https://github.com/vercel/eve,AI Agent,4992,4992,2026-06-16,开源 AI Agent 与自动化工作流项目,The Open Framework for Building Agents
19,kunchenguid/firstmate,https://github.com/kunchenguid/firstmate,AI Agent,4875,4875,2026-06-12,开源 AI Agent 与自动化工作流项目,Talk to one agent. Ship with a crew.
20,shy3130/tick-stock-panel,https://github.com/shy3130/tick-stock-panel,AI Agent,4414,4414,2026-06-18,开源 AI Agent 与自动化工作流项目,"TSP自托管、零运维的 A 股「选股 + 监控 + 回测」量化工作台  | LLM能力驱使策略定制+个股分析+复盘 | 自由接入第三方数据源与个性化扩展数据 | 个人开源 ,非第三方官方项目"
21,dataelement/dsh-desktop,https://github.com/dataelement/dsh-desktop,AI Agent,4319,4319,2026-08-13,开源 AI Agent 与自动化工作流项目,DSHDesktop：DeepSeek Harness Desktop / DeepSeek Harness 桌面版
22,dmmulroy/anti-slop,https://github.com/dmmulroy/anti-slop,AI Agent,4142,4142,2026-08-12,开源 AI Agent 与自动化工作流项目,Opinionated Oxlint rules for rejecting low-evidence TypeScript and JavaScript patterns
23,davidondrej/skills,https://github.com/davidondrej/skills,AI Agent,3961,3961,2026-06-24,开源 AI Agent 与自动化工作流项目,access to david ondrej's personal agent skills
24,SenteLabsAI/OpenExecutive,https://github.com/SenteLabsAI/OpenExecutive,AI Agent,3873,3873,2026-06-11,开源 AI Agent 与自动化工作流项目,AI-powered virtual executive team — a single coherent executive persona backed by 8 specialis...
25,aipoch/open-science,https://github.com/aipoch/open-science,AI Agent,3859,3859,2026-07-03,开源 AI Agent 与自动化工作流项目,"Open Science by AIPOCH is an open-source, local-first, model-agnostic AI research workbench f..."
26,xiaobright/dsh-anchored-standard,https://github.com/xiaobright/dsh-anchored-standard,AI Agent,3824,3824,2026-08-14,开源 AI Agent 与自动化工作流项目,"Two-phase DeepSeek Harness preset: Minimal-aligned bootstrap, then full Standard tools (Proje..."
27,wang2122/sprix-sage-router,https://github.com/wang2122/sprix-sage-router,AI Agent,3801,3801,2026-08-18,开源 AI Agent 与自动化工作流项目,Sprix AI at 屿智同行 — state-aware SELF/COLLABORATE/HANDOFF routing for A2A agent networks.
28,Hisn00w/ASu-skills,https://github.com/Hisn00w/ASu-skills,AI Agent,3733,3733,2026-08-12,开源 AI Agent 与自动化工作流项目,🚀面向求职与开发场景的实用 AI Skills 集合，支持简历优化、岗位投递、面试准备与开发提效。
29,kirodotdev/KiroCrew,https://github.com/kirodotdev/KiroCrew,AI Agent,3683,3683,2026-07-16,开源 AI Agent 与自动化工作流项目,A persistent workspace for development work that self-improves and continues beyond one session.
30,synthetic-sciences/openscience,https://github.com/synthetic-sciences/openscience,AI Agent,3500,3500,2026-07-03,开源 AI Agent 与自动化工作流项目,The open-source AI workbench for scientific research
31,KKKKhazix/human-writing,https://github.com/KKKKhazix/human-writing,AI Agent,3477,3477,2026-08-05,开源 AI Agent 与自动化工作流项目,让 AI 写的中文读起来像一个具体的人在说话。通用创作与改稿 Skill，开箱即用。
32,kvcache-ai/AgentENV,https://github.com/kvcache-ai/AgentENV,AI Agent,3423,3423,2026-07-23,开源 AI Agent 与自动化工作流项目,AgentENV (AENV) is a distributed platform for running agent environments at scale.
33,omdsh-dev/DSH-better-sidebar,https://github.com/omdsh-dev/DSH-better-sidebar,AI Agent,3376,3376,2026-08-07,开源 AI Agent 与自动化工作流项目,"开放的侧边栏底座，支持三方拓展注册新侧边栏页面。内置文件渲染编辑/终端/侧边对话/Git/子代理页面 ｜ Open sidebar foundation, supports third-..."
34,cloudflare/security-audit-skill,https://github.com/cloudflare/security-audit-skill,AI Agent,3239,3239,2026-06-18,开源 AI Agent 与自动化工作流项目,"A coding-agent skill for multi-phase security audits with independently verified, machine-rea..."
35,AminBlg/SimpleEnglish,https://github.com/AminBlg/SimpleEnglish,AI Agent,3214,3214,2026-07-21,开源 AI Agent 与自动化工作流项目,Agent skill: make LLMs write docs in ASD-STE100 Simplified Technical
36,obra/superpowers,https://github.com/obra/superpowers,AI Agent,3047,282405,2025-10-09,开源 AI Agent 与自动化工作流项目,An agentic skills framework & software development methodology that works.
37,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Coding Agent,129376,129376,2026-06-12,开源 AI 编程 Agent / 编程辅助工具,Makes your AI agent think like the laziest senior dev in the room. The best code is the code ...
38,JustVugg/colibri,https://github.com/JustVugg/colibri,模型/推理,26958,26958,2026-07-01,开源大模型、训练或推理项目,"Run frontier MoE models on hardware you already own — pure C, zero deps, experts streamed fro..."
39,xai-org/grok-build,https://github.com/xai-org/grok-build,Coding Agent,26520,26520,2026-07-14,开源 AI 编程 Agent / 编程辅助工具,"SpaceXAI's coding agent harness and TUI. Fullscreen, mouse interactive, extensible."
40,baidu/Unlimited-OCR,https://github.com/baidu/Unlimited-OCR,多模态,25315,25315,2026-06-18,开源多模态、图像或视觉项目,Unlimited OCR Works: Welcome the Era of One-shot Long-horizon Parsing.
